"Bykov_Iyun" "Bykov_Sto_Nochey" "Dubovitsky_Mashinka_i_Velik" "Dubovitsky_Okolonolya" "Erofeev_Akimudy" "Erofeev_Apokalipsis" "Sorokin_Istoria" "Sorokin_Oprichnik" "Sorokin_Salo" "Sorokin_Teluria" "Surkov_Ruspioner" "Surkov_Tekstyi 97-07"
"у" 0.501168733409928 0.600673893736314 0.49333836098542 0.350796600613894 0.675299648644832 0.478014498717908 0.395641007843409 0.586422523412022 0.341977004066026 0.437412095639944 0.194505227327984 0
"из" 0.321896913751436 0.446776632022834 0.612745098039216 0.603453676056044 0.382918988960969 0.473266010320048 0.607343652391199 0.62830984651288 0.600479306352156 0.582278481012658 0.461949914903963 0
"все" 1.00134701477754 0.179659798916618 0.208438076085135 0.175398300306947 0.459336661378342 0.459020545126468 0.451169570347748 0.580438620111899 0.503540942994857 0.451476793248945 0.534889375151957 0
"за" 0.360524543401608 0.225083219774781 0.429445282386459 0.561692175982961 0.495884243838825 0.356136629839501 0.284583882834733 0.526583490410795 0.492770013732935 0.492264416315049 0.364697301239971 0
"о" 0.346658214809239 0.691520735452641 0.360315066197419 0.277713975485999 0.589745080612338 0.364050777169268 0.291524953147775 0.170541244053496 0.126558418827584 0.177215189873418 0.364697301239971 0
"она" 0.748781743987956 0.26169314106345 0.193774090832914 0.233864400409263 0.579777558123115 0.413118490613821 0.222114250017353 0.260299793555336 0.232921345289065 0.316455696202532 0.0729394602479942 0
"так" 0.477397884394438 0.338980752672863 0.538377744260097 0.526194900920841 0.255833077223381 0.250087055620627 0.201291039078226 0.362026149657422 0.249077739181948 0.337552742616034 0.486263068319961 0
"от" 0.3189255576245 0.253557602999302 0.426302999832412 0.421791150738135 0.358830809612014 0.398873025420241 0.315818699243423 0.376985907907728 0.254463203812909 0.319268635724332 0.145878920495988 0
"ты" 0.45956974763282 0.100338302791168 0.337271660801073 0.405086550708901 0.48923922884601 0.324480040520434 0.159644617199972 0.185501002303803 0.385060721113714 0.236286919831224 0.170192073911986 0
"было" 0.941919892238818 0.254913526009993 0.368694486341545 0.309035100540811 0.1760928973096 0.150368799265567 0.263760671895606 0.0747987912515334 0.150793009666909 0.180028129395218 0.170192073911986 0
"же" 0.386276296501723 0.309828407942997 0.488101223395341 0.457288425800255 0.196027942288045 0.254835544018487 0.239466925799958 0.176525147353619 0.255809569970649 0.233473980309423 0.364697301239971 0
"мы" 0.242660750366467 0.23321875783893 0.151876990112284 0.133636800233864 0.554858751900059 0.373547753964988 0.24293746095648 0.362026149657422 0.224843148342623 0.265822784810127 0.0972526136639922 0
"мне" 0.154510518600689 0.38237028901499 0.131975867269985 0.223424025390992 0.416144063925044 0.278577986007788 0.277642812521691 0.275259551805643 0.216764951396182 0.270042194092827 0.316070994407975 0
"они" 0.367457707697793 0.202032528593026 0.216817496229261 0.148253325259443 0.41863594454735 0.324480040520434 0.225584785173874 0.203452712204171 0.201954923661039 0.253164556962025 0.243131534159981 0
"бы" 0.512063705875362 0.311184330953688 0.277568292274175 0.290242425507924 0.183568539176517 0.305486086928994 0.187408898452141 0.071806839601472 0.10501656030374 0.135021097046413 0.218818380743982 0
"вот" 0.282278832058952 0.446776632022834 0.354030501089325 0.283978200496962 0.135392180478607 0.0965525974231536 0.128409800791282 0.278251503455704 0.150793009666909 0.184247538677918 0.243131534159981 0
