"Bykov_Iyun" "Bykov_Sto_Nochey" "Erofeev_Akimudy" "Erofeev_Apokalipsis" "Sorokin_Istoria" "Sorokin_Manaraga" "Sorokin_Oprichnik" "Sorokin_Salo"
"к" 0.472445624182877 0.464403631161823 0.818167470990356 0.531830700560322 0.364406191434719 0.456490727532097 0.481704215659875 0.622021164876
"его" 0.573471732498712 0.739656002332188 0.407837795184025 0.455854886194561 0.399111542999931 0.505770976527039 0.248331986955091 0.538546463096104
"у" 0.501168733409928 0.600673893736314 0.675299648644832 0.478014498717908 0.395641007843409 0.443522240954481 0.586422523412022 0.341977004066026
"все" 1.00134701477754 0.179659798916618 0.459336661378342 0.459020545126468 0.451169570347748 0.573207106730645 0.580438620111899 0.503540942994857
"из" 0.321896913751436 0.446776632022834 0.382918988960969 0.473266010320048 0.607343652391199 0.497989884580469 0.62830984651288 0.600479306352156
"о" 0.346658214809239 0.691520735452641 0.589745080612338 0.364050777169268 0.291524953147775 0.194527298664246 0.170541244053496 0.126558418827584
"она" 0.748781743987956 0.26169314106345 0.579777558123115 0.413118490613821 0.222114250017353 0.329399559071456 0.260299793555336 0.232921345289065
"за" 0.360524543401608 0.225083219774781 0.495884243838825 0.356136629839501 0.284583882834733 0.453897030216574 0.526583490410795 0.492770013732935
"мы" 0.242660750366467 0.23321875783893 0.554858751900059 0.373547753964988 0.24293746095648 0.277525612760991 0.362026149657422 0.224843148342623
"так" 0.477397884394438 0.338980752672863 0.255833077223381 0.250087055620627 0.201291039078226 0.306056283231747 0.362026149657422 0.249077739181948
"было" 0.941919892238818 0.254913526009993 0.1760928973096 0.150368799265567 0.263760671895606 0.15043444430035 0.0747987912515334 0.150793009666909
"от" 0.3189255576245 0.253557602999302 0.358830809612014 0.398873025420241 0.315818699243423 0.306056283231747 0.376985907907728 0.254463203812909
"ты" 0.45956974763282 0.100338302791168 0.48923922884601 0.324480040520434 0.159644617199972 0.256776034236805 0.185501002303803 0.385060721113714
"мне" 0.154510518600689 0.38237028901499 0.416144063925044 0.278577986007788 0.277642812521691 0.363117624173259 0.275259551805643 0.216764951396182
"они" 0.367457707697793 0.202032528593026 0.41863594454735 0.324480040520434 0.225584785173874 0.344961742964596 0.203452712204171 0.201954923661039
"же" 0.386276296501723 0.309828407942997 0.196027942288045 0.254835544018487 0.239466925799958 0.290494099338607 0.176525147353619 0.255809569970649
"бы" 0.512063705875362 0.311184330953688 0.183568539176517 0.305486086928994 0.187408898452141 0.145247049669304 0.071806839601472 0.10501656030374
"был" 0.519987322213858 0.26643887160087 0.220946748511101 0.188356706448447 0.249878531269522 0.186746206717676 0.053855129701104 0.141368446562727
"меня" 0.147577354304505 0.205422336119755 0.393717138324293 0.174111241254867 0.239466925799958 0.485021398002853 0.332106633156808 0.172334868190753
"вот" 0.282278832058952 0.446776632022834 0.135392180478607 0.0965525974231536 0.128409800791282 0.153028141615873 0.278251503455704 0.150793009666909
"когда" 0.2535557228319 0.330167253103369 0.219285494762898 0.227927443097281 0.190879433608662 0.168590325509013 0.119678066002453 0.181759431294935
"для" 0.207004476843231 0.275252371170365 0.177754151057803 0.264332520814207 0.291524953147775 0.215276877188432 0.149597582503067 0.130597517300805
"очень" 0.17828136761618 0.577623202554559 0.0456844780756037 0.0459020545126468 0.0937044492260707 0.114122681883024 0.0239356132004907 0.118480221881143
"да" 0.259498435085773 0.143049877627948 0.156157852331154 0.0949697679572003 0.131880335947803 0.16599662819349 0.655237411363432 0.319088779384441
"только" 0.275345667762767 0.197964759560952 0.188552300421128 0.237424419893001 0.190879433608662 0.254182336921281 0.143613679202944 0.162910305086571
"ее" 0.319916009666812 0.000677961505345726 0.29985630155078 0.288074962803508 0.222114250017353 0.212683179872909 0.191484905603925 0.231574979131325
"вы" 0.171348203319995 0.191185144507495 0.364645197730727 0.106049574218874 0.0798223085999861 0.108935287251978 0.110702211052269 0.185798529768156
"есть" 0.14559645021988 0.368133097402729 0.147020956716034 0.229510272563234 0.156174082043451 0.111528984567501 0.0957424528019627 0.0861674340953766
"уже" 0.367457707697793 0.143049877627948 0.14535970296783 0.170945582322961 0.138821406260845 0.243807547659188 0.149597582503067 0.117133855723403
"нет" 0.191157244166237 0.187795336980766 0.191044181043433 0.148785969799614 0.0485874921912959 0.197120995979769 0.131645872602699 0.200608557503299
"до" 0.171348203319995 0.147117646660023 0.201842330406758 0.262749691348254 0.135350871104324 0.127091168460641 0.155581485803189 0.168295769717532
